Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.06717725;0.00000000;0.00000000;0.06746150;4.17374354;104.3436
OMP+MPI;1;1;0.06212725;0.00038750;0.00003025;0.07039175;1.00000000;100.0000
OMP+MPI;1;2;0.06870500;0.00166125;0.00002550;0.08133450;0.86545992;43.2730
OMP+MPI;1;4;0.08138525;0.00451175;0.00048625;0.10084725;0.69800366;17.4501
OMP+MPI;1;8;0.13642875;0.00559350;0.00029700;0.16043650;0.43875147;5.4844
OMP+MPI;2;1;0.06387675;0.00037500;0.00027075;0.07387050;0.95290745;47.6454
OMP+MPI;2;2;0.06696075;0.00174800;0.00032075;0.07966425;0.88360526;22.0901
OMP+MPI;2;4;0.08668175;0.00321925;0.00049300;0.10486950;0.67123186;8.3904
OMP+MPI;2;8;0.12806150;0.00544075;0.00039100;0.15304100;0.45995354;2.8747
OMP+MPI;4;1;0.06325650;0.00039075;0.00048950;0.07143850;0.98534754;24.6337
OMP+MPI;4;2;0.06498050;0.00138375;0.00052350;0.07667850;0.91801157;11.4751
OMP+MPI;4;4;0.08368075;0.00336500;0.00048800;0.10223775;0.68851036;4.3032
OMP+MPI;4;8;0.12651100;0.01229450;0.00055025;0.15846625;0.44420657;1.3881
OMP+MPI;8;1;0.06084475;0.00037925;0.00089400;0.06943325;1.01380463;12.6726
OMP+MPI;8;2;0.06560250;0.00155375;0.00086250;0.07913975;0.88946136;5.5591
OMP+MPI;8;4;0.08115425;0.00421125;0.00072425;0.10015225;0.70284741;2.1964
OMP+MPI;8;8;0.13096275;0.01155950;0.00063375;0.16013450;0.43957892;0.6868
OMP+MPI;16;1;0.05907200;0.00038175;0.00132375;0.06781925;1.03793171;6.4871
OMP+MPI;16;2;0.06863750;0.00129150;0.00133475;0.08305975;0.84748329;2.6484
OMP+MPI;16;4;0.08406650;0.00246675;0.00093150;0.10204250;0.68982777;1.0779
OMP+MPI;16;8;0.13315475;0.00638575;0.00094850;0.15664625;0.44936760;0.3511
